Holding_ID,Portfolio_Account_ID,Symbol,Security_Name,Asset_Class,Market_Value,Portfolio_Weight
HLD-000102,PA-00022,BND,Vanguard Total Bond Market ETF,ETF,118299.17,20.4
HLD-000103,PA-00022,AMZN,Amazon.com Inc.,Equity,61398.44,10.59
HLD-000104,PA-00022,MSFT,Microsoft Corp.,Equity,134090.82,23.12
HLD-000105,PA-00022,VTI,Vanguard Total Stock Market ETF,ETF,105341.44,18.16
HLD-000106,PA-00023,SPY,SPDR S&P 500 ETF,ETF,98748.53,47.87
HLD-000107,PA-00023,GOOGL,Alphabet Inc.,Equity,81318.93,39.42
HLD-000108,PA-00023,VTI,Vanguard Total Stock Market ETF,ETF,26226.54,12.71
HLD-000109,PA-00024,BND,Vanguard Total Bond Market ETF,ETF,87301.09,32.3
HLD-000110,PA-00024,AAPL,Apple Inc.,Equity,69761.09,25.81
HLD-000111,PA-00024,GOOGL,Alphabet Inc.,Equity,83542.82,30.91
HLD-000112,PA-00024,AMZN,Amazon.com Inc.,Equity,29676.0,10.98
HLD-000113,PA-00025,BND,Vanguard Total Bond Market ETF,ETF,11946.21,15.72
HLD-000114,PA-00025,GOOGL,Alphabet Inc.,Equity,27126.55,35.7
HLD-000115,PA-00025,AMZN,Amazon.com Inc.,Equity,7318.05,9.63
HLD-000116,PA-00025,MSFT,Microsoft Corp.,Equity,29599.19,38.95
HLD-000117,PA-00026,MSFT,Microsoft Corp.,Equity,57912.89,15.65
HLD-000118,PA-00026,AAPL,Apple Inc.,Equity,123812.53,33.46
HLD-000119,PA-00026,SPY,SPDR S&P 500 ETF,ETF,136416.91,36.87
HLD-000120,PA-00026,AMZN,Amazon.com Inc.,Equity,51872.67,14.02
HLD-000121,PA-00027,GOOGL,Alphabet Inc.,Equity,49440.2,62.63
HLD-000122,PA-00027,MSFT,Microsoft Corp.,Equity,18262.85,23.13
HLD-000123,PA-00027,VTI,Vanguard Total Stock Market ETF,ETF,11237.95,14.24
HLD-000124,PA-00028,AMZN,Amazon.com Inc.,Equity,195586.63,28.53
HLD-000125,PA-00028,VTI,Vanguard Total Stock Market ETF,ETF,418959.75,61.1
HLD-000126,PA-00028,MSFT,Microsoft Corp.,Equity,71109.62,10.37
HLD-000127,PA-00029,AAPL,Apple Inc.,Equity,113142.56,26.2
HLD-000128,PA-00029,BND,Vanguard Total Bond Market ETF,ETF,58128.67,13.46
HLD-000129,PA-00029,GOOGL,Alphabet Inc.,Equity,59304.2,13.73
HLD-000130,PA-00029,VTI,Vanguard Total Stock Market ETF,ETF,72303.52,16.74
HLD-000131,PA-00029,AMZN,Amazon.com Inc.,Equity,71517.52,16.56
HLD-000132,PA-00029,SPY,SPDR S&P 500 ETF,ETF,57516.52,13.32
HLD-000133,PA-00030,AMZN,Amazon.com Inc.,Equity,79686.75,11.46
HLD-000134,PA-00030,VTI,Vanguard Total Stock Market ETF,ETF,209603.53,30.14
HLD-000135,PA-00030,AAPL,Apple Inc.,Equity,169178.4,24.33
HLD-000136,PA-00030,GOOGL,Alphabet Inc.,Equity,104981.97,15.1
HLD-000137,PA-00030,MSFT,Microsoft Corp.,Equity,131963.34,18.98
HLD-000138,PA-00031,GOOGL,Alphabet Inc.,Equity,151784.64,20.49
HLD-000139,PA-00031,VTI,Vanguard Total Stock Market ETF,ETF,305217.09,41.2
HLD-000140,PA-00031,BND,Vanguard Total Bond Market ETF,ETF,283853.27,38.31
HLD-000141,PA-00032,MSFT,Microsoft Corp.,Equity,42507.93,56.22
HLD-000142,PA-00032,AMZN,Amazon.com Inc.,Equity,9236.74,12.22
HLD-000143,PA-00032,VTI,Vanguard Total Stock Market ETF,ETF,23866.33,31.56
HLD-000144,PA-00033,MSFT,Microsoft Corp.,Equity,49544.98,8.72
HLD-000145,PA-00033,SPY,SPDR S&P 500 ETF,ETF,171110.02,30.1
HLD-000146,PA-00033,AAPL,Apple Inc.,Equity,102715.9,18.07
HLD-000147,PA-00033,VTI,Vanguard Total Stock Market ETF,ETF,30011.32,5.28
HLD-000148,PA-00033,BND,Vanguard Total Bond Market ETF,ETF,60940.41,10.72
HLD-000149,PA-00033,AMZN,Amazon.com Inc.,Equity,154069.37,27.11
HLD-000150,PA-00034,SPY,SPDR S&P 500 ETF,ETF,68674.32,13.36
HLD-000151,PA-00034,VTI,Vanguard Total Stock Market ETF,ETF,103618.8,20.16
HLD-000152,PA-00034,AMZN,Amazon.com Inc.,Equity,113821.16,22.14
HLD-000153,PA-00034,MSFT,Microsoft Corp.,Equity,48664.99,9.47
HLD-000154,PA-00034,GOOGL,Alphabet Inc.,Equity,106618.38,20.74
HLD-000155,PA-00034,BND,Vanguard Total Bond Market ETF,ETF,72673.35,14.14
HLD-000156,PA-00035,GOOGL,Alphabet Inc.,Equity,42811.35,14.47
HLD-000157,PA-00035,SPY,SPDR S&P 500 ETF,ETF,76660.2,25.91
HLD-000158,PA-00035,VTI,Vanguard Total Stock Market ETF,ETF,43099.19,14.57
HLD-000159,PA-00035,AAPL,Apple Inc.,Equity,52012.78,17.58
HLD-000160,PA-00035,AMZN,Amazon.com Inc.,Equity,81300.49,27.48
HLD-000161,PA-00036,SPY,SPDR S&P 500 ETF,ETF,112018.15,22.84
HLD-000162,PA-00036,VTI,Vanguard Total Stock Market ETF,ETF,45553.32,9.29
HLD-000163,PA-00036,AAPL,Apple Inc.,Equity,54981.8,11.21
HLD-000164,PA-00036,AMZN,Amazon.com Inc.,Equity,106745.36,21.76
HLD-000165,PA-00036,MSFT,Microsoft Corp.,Equity,100975.96,20.58
HLD-000166,PA-00036,BND,Vanguard Total Bond Market ETF,ETF,70277.41,14.33
HLD-000167,PA-00037,AMZN,Amazon.com Inc.,Equity,48729.63,17.4
HLD-000168,PA-00037,SPY,SPDR S&P 500 ETF,ETF,56489.85,20.17
HLD-000169,PA-00037,AAPL,Apple Inc.,Equity,52049.85,18.58
HLD-000170,PA-00037,BND,Vanguard Total Bond Market ETF,ETF,59033.0,21.08
HLD-000171,PA-00037,MSFT,Microsoft Corp.,Equity,63777.67,22.77
HLD-000172,PA-00038,MSFT,Microsoft Corp.,Equity,15884.47,11.51
HLD-000173,PA-00038,AMZN,Amazon.com Inc.,Equity,20186.45,14.63
HLD-000174,PA-00038,SPY,SPDR S&P 500 ETF,ETF,16227.28,11.76
HLD-000175,PA-00038,AAPL,Apple Inc.,Equity,34541.66,25.03
HLD-000176,PA-00038,VTI,Vanguard Total Stock Market ETF,ETF,14225.92,10.31
HLD-000177,PA-00038,GOOGL,Alphabet Inc.,Equity,36959.21,26.78
HLD-000178,PA-00039,GOOGL,Alphabet Inc.,Equity,24843.61,35.33
HLD-000179,PA-00039,MSFT,Microsoft Corp.,Equity,21362.66,30.38
HLD-000180,PA-00039,AAPL,Apple Inc.,Equity,24117.73,34.3
HLD-000181,PA-00040,AMZN,Amazon.com Inc.,Equity,80462.21,26.81
HLD-000182,PA-00040,BND,Vanguard Total Bond Market ETF,ETF,52826.13,17.6
HLD-000183,PA-00040,AAPL,Apple Inc.,Equity,67737.0,22.57
HLD-000184,PA-00040,MSFT,Microsoft Corp.,Equity,99106.67,33.02
HLD-000185,PA-00041,GOOGL,Alphabet Inc.,Equity,54527.07,33.38
HLD-000186,PA-00041,VTI,Vanguard Total Stock Market ETF,ETF,86702.94,53.08
HLD-000187,PA-00041,AMZN,Amazon.com Inc.,Equity,22118.98,13.54
HLD-000188,PA-00042,SPY,SPDR S&P 500 ETF,ETF,211487.29,31.12
HLD-000189,PA-00042,VTI,Vanguard Total Stock Market ETF,ETF,246518.28,36.28
HLD-000190,PA-00042,AAPL,Apple Inc.,Equity,221571.43,32.6
HLD-000191,PA-00043,GOOGL,Alphabet Inc.,Equity,30248.36,18.83
HLD-000192,PA-00043,BND,Vanguard Total Bond Market ETF,ETF,38242.28,23.8
HLD-000193,PA-00043,AMZN,Amazon.com Inc.,Equity,14248.23,8.87
HLD-000194,PA-00043,MSFT,Microsoft Corp.,Equity,32815.62,20.42
HLD-000195,PA-00043,VTI,Vanguard Total Stock Market ETF,ETF,23498.53,14.63
HLD-000196,PA-00043,AAPL,Apple Inc.,Equity,21611.99,13.45
HLD-000197,PA-00044,SPY,SPDR S&P 500 ETF,ETF,66113.21,17.04
HLD-000198,PA-00044,AAPL,Apple Inc.,Equity,103868.56,26.77
HLD-000199,PA-00044,GOOGL,Alphabet Inc.,Equity,128764.1,33.19
HLD-000200,PA-00044,AMZN,Amazon.com Inc.,Equity,89214.13,23.0
HLD-000201,PA-00045,SPY,SPDR S&P 500 ETF,ETF,84054.36,30.85
HLD-000202,PA-00045,GOOGL,Alphabet Inc.,Equity,41738.91,15.32
HLD-000203,PA-00045,BND,Vanguard Total Bond Market ETF,ETF,15237.43,5.59
HLD-000204,PA-00045,VTI,Vanguard Total Stock Market ETF,ETF,108639.95,39.88
HLD-000205,PA-00045,AMZN,Amazon.com Inc.,Equity,22752.34,8.35
HLD-000206,PA-00046,AMZN,Amazon.com Inc.,Equity,156999.25,21.59
HLD-000207,PA-00046,AAPL,Apple Inc.,Equity,84470.21,11.61
HLD-000208,PA-00046,BND,Vanguard Total Bond Market ETF,ETF,136264.34,18.74
HLD-000209,PA-00046,GOOGL,Alphabet Inc.,Equity,115893.69,15.94
HLD-000210,PA-00046,VTI,Vanguard Total Stock Market ETF,ETF,126739.99,17.43
HLD-000211,PA-00046,MSFT,Microsoft Corp.,Equity,106910.51,14.7
HLD-000212,PA-00047,GOOGL,Alphabet Inc.,Equity,34603.51,10.36
HLD-000213,PA-00047,MSFT,Microsoft Corp.,Equity,89501.02,26.79
HLD-000214,PA-00047,AAPL,Apple Inc.,Equity,119345.94,35.72
HLD-000215,PA-00047,BND,Vanguard Total Bond Market ETF,ETF,43253.35,12.95
HLD-000216,PA-00047,AMZN,Amazon.com Inc.,Equity,47372.19,14.18
HLD-000217,PA-00048,GOOGL,Alphabet Inc.,Equity,39443.42,25.38
HLD-000218,PA-00048,MSFT,Microsoft Corp.,Equity,75397.84,48.52
HLD-000219,PA-00048,SPY,SPDR S&P 500 ETF,ETF,23875.64,15.36
HLD-000220,PA-00048,BND,Vanguard Total Bond Market ETF,ETF,16692.1,10.74
HLD-000221,PA-00049,AAPL,Apple Inc.,Equity,111101.55,15.46
HLD-000222,PA-00049,SPY,SPDR S&P 500 ETF,ETF,62323.2,8.67
HLD-000223,PA-00049,VTI,Vanguard Total Stock Market ETF,ETF,36994.21,5.15
HLD-000224,PA-00049,GOOGL,Alphabet Inc.,Equity,206445.94,28.72
HLD-000225,PA-00049,MSFT,Microsoft Corp.,Equity,118198.25,16.44
HLD-000226,PA-00049,AMZN,Amazon.com Inc.,Equity,183790.85,25.57
HLD-000227,PA-00050,SPY,SPDR S&P 500 ETF,ETF,77816.89,37.22
HLD-000228,PA-00050,VTI,Vanguard Total Stock Market ETF,ETF,17887.64,8.55
HLD-000229,PA-00050,GOOGL,Alphabet Inc.,Equity,62108.41,29.7
HLD-000230,PA-00050,AAPL,Apple Inc.,Equity,51284.06,24.53
HLD-000231,PA-00051,GOOGL,Alphabet Inc.,Equity,92849.93,17.77
HLD-000232,PA-00051,VTI,Vanguard Total Stock Market ETF,ETF,108947.27,20.86
HLD-000233,PA-00051,AMZN,Amazon.com Inc.,Equity,134550.92,25.76
HLD-000234,PA-00051,SPY,SPDR S&P 500 ETF,ETF,43266.29,8.28
HLD-000235,PA-00051,BND,Vanguard Total Bond Market ETF,ETF,43665.75,8.36
HLD-000236,PA-00051,AAPL,Apple Inc.,Equity,99117.83,18.97
HLD-000237,PA-00052,AMZN,Amazon.com Inc.,Equity,107622.17,50.26
HLD-000238,PA-00052,SPY,SPDR S&P 500 ETF,ETF,30822.95,14.39
HLD-000239,PA-00052,VTI,Vanguard Total Stock Market ETF,ETF,75690.88,35.35
HLD-000240,PA-00053,AMZN,Amazon.com Inc.,Equity,85542.77,26.13
HLD-000241,PA-00053,AAPL,Apple Inc.,Equity,113762.62,34.75
HLD-000242,PA-00053,VTI,Vanguard Total Stock Market ETF,ETF,104912.8,32.04
HLD-000243,PA-00053,MSFT,Microsoft Corp.,Equity,23186.82,7.08
HLD-000244,PA-00054,AMZN,Amazon.com Inc.,Equity,167271.15,32.77
HLD-000245,PA-00054,BND,Vanguard Total Bond Market ETF,ETF,215500.11,42.21
HLD-000246,PA-00054,GOOGL,Alphabet Inc.,Equity,127713.75,25.02
HLD-000247,PA-00055,VTI,Vanguard Total Stock Market ETF,ETF,110310.74,21.93
HLD-000248,PA-00055,GOOGL,Alphabet Inc.,Equity,97734.43,19.43
HLD-000249,PA-00055,AAPL,Apple Inc.,Equity,71697.68,14.25
HLD-000250,PA-00055,SPY,SPDR S&P 500 ETF,ETF,109199.93,21.71
HLD-000251,PA-00055,AMZN,Amazon.com Inc.,Equity,114071.21,22.68
HLD-000252,PA-00056,VTI,Vanguard Total Stock Market ETF,ETF,53041.17,22.7
HLD-000253,PA-00056,BND,Vanguard Total Bond Market ETF,ETF,43283.45,18.52
HLD-000254,PA-00056,AMZN,Amazon.com Inc.,Equity,15967.39,6.83
HLD-000255,PA-00056,GOOGL,Alphabet Inc.,Equity,33477.59,14.33
HLD-000256,PA-00056,AAPL,Apple Inc.,Equity,32478.16,13.9
HLD-000257,PA-00056,MSFT,Microsoft Corp.,Equity,55452.23,23.73
HLD-000258,PA-00057,SPY,SPDR S&P 500 ETF,ETF,37738.21,10.71
HLD-000259,PA-00057,VTI,Vanguard Total Stock Market ETF,ETF,24707.65,7.01
HLD-000260,PA-00057,AAPL,Apple Inc.,Equity,87400.96,24.81
HLD-000261,PA-00057,AMZN,Amazon.com Inc.,Equity,96219.55,27.32
HLD-000262,PA-00057,BND,Vanguard Total Bond Market ETF,ETF,92402.02,26.23
HLD-000263,PA-00057,MSFT,Microsoft Corp.,Equity,13749.6,3.9
HLD-000264,PA-00058,VTI,Vanguard Total Stock Market ETF,ETF,36560.11,14.82
HLD-000265,PA-00058,AMZN,Amazon.com Inc.,Equity,24426.46,9.9
HLD-000266,PA-00058,BND,Vanguard Total Bond Market ETF,ETF,38430.68,15.58
HLD-000267,PA-00058,AAPL,Apple Inc.,Equity,91303.98,37.01
HLD-000268,PA-00058,SPY,SPDR S&P 500 ETF,ETF,55972.78,22.69
HLD-000269,PA-00059,VTI,Vanguard Total Stock Market ETF,ETF,22765.02,10.54
HLD-000270,PA-00059,AAPL,Apple Inc.,Equity,60961.19,28.21
HLD-000271,PA-00059,SPY,SPDR S&P 500 ETF,ETF,15875.3,7.35
HLD-000272,PA-00059,AMZN,Amazon.com Inc.,Equity,67505.03,31.24
HLD-000273,PA-00059,BND,Vanguard Total Bond Market ETF,ETF,48964.46,22.66
HLD-000274,PA-00060,AMZN,Amazon.com Inc.,Equity,101456.28,20.89
HLD-000275,PA-00060,MSFT,Microsoft Corp.,Equity,62042.28,12.77
HLD-000276,PA-00060,SPY,SPDR S&P 500 ETF,ETF,97402.52,20.06
HLD-000277,PA-00060,BND,Vanguard Total Bond Market ETF,ETF,95944.67,19.75
HLD-000278,PA-00060,VTI,Vanguard Total Stock Market ETF,ETF,39935.92,8.22
HLD-000279,PA-00060,AAPL,Apple Inc.,Equity,88891.33,18.3
HLD-000280,PA-00061,BND,Vanguard Total Bond Market ETF,ETF,9960.92,18.91
HLD-000281,PA-00061,GOOGL,Alphabet Inc.,Equity,10599.64,20.12
HLD-000282,PA-00061,VTI,Vanguard Total Stock Market ETF,ETF,8032.51,15.25
HLD-000283,PA-00061,AMZN,Amazon.com Inc.,Equity,15306.81,29.05
HLD-000284,PA-00061,AAPL,Apple Inc.,Equity,8789.12,16.68
HLD-000285,PA-00062,MSFT,Microsoft Corp.,Equity,105431.81,16.23
HLD-000286,PA-00062,AMZN,Amazon.com Inc.,Equity,118631.97,18.26
HLD-000287,PA-00062,AAPL,Apple Inc.,Equity,65755.99,10.12
HLD-000288,PA-00062,GOOGL,Alphabet Inc.,Equity,100267.78,15.44
HLD-000289,PA-00062,BND,Vanguard Total Bond Market ETF,ETF,119792.93,18.44
HLD-000290,PA-00062,SPY,SPDR S&P 500 ETF,ETF,139692.51,21.51
HLD-000291,PA-00063,AAPL,Apple Inc.,Equity,22270.98,14.35
HLD-000292,PA-00063,VTI,Vanguard Total Stock Market ETF,ETF,32132.86,20.7
HLD-000293,PA-00063,AMZN,Amazon.com Inc.,Equity,11973.44,7.71
HLD-000294,PA-00063,SPY,SPDR S&P 500 ETF,ETF,24668.42,15.89
HLD-000295,PA-00063,GOOGL,Alphabet Inc.,Equity,44799.36,28.86
HLD-000296,PA-00063,BND,Vanguard Total Bond Market ETF,ETF,19393.94,12.49
HLD-000297,PA-00064,GOOGL,Alphabet Inc.,Equity,68508.13,11.24
HLD-000298,PA-00064,BND,Vanguard Total Bond Market ETF,ETF,150078.66,24.62
HLD-000299,PA-00064,AMZN,Amazon.com Inc.,Equity,78052.27,12.81
HLD-000300,PA-00064,AAPL,Apple Inc.,Equity,67186.69,11.02
HLD-000301,PA-00064,SPY,SPDR S&P 500 ETF,ETF,42313.13,6.94
HLD-000302,PA-00064,VTI,Vanguard Total Stock Market ETF,ETF,203404.12,33.37
HLD-000303,PA-00065,AAPL,Apple Inc.,Equity,39598.79,17.64
HLD-000304,PA-00065,SPY,SPDR S&P 500 ETF,ETF,45303.64,20.18
HLD-000305,PA-00065,GOOGL,Alphabet Inc.,Equity,30573.04,13.62
HLD-000306,PA-00065,BND,Vanguard Total Bond Market ETF,ETF,43831.68,19.53
HLD-000307,PA-00065,MSFT,Microsoft Corp.,Equity,65138.85,29.02
HLD-000308,PA-00066,AMZN,Amazon.com Inc.,Equity,272479.5,38.94
HLD-000309,PA-00066,VTI,Vanguard Total Stock Market ETF,ETF,179019.86,25.58
HLD-000310,PA-00066,MSFT,Microsoft Corp.,Equity,179628.59,25.67
HLD-000311,PA-00066,BND,Vanguard Total Bond Market ETF,ETF,68685.04,9.81
HLD-000312,PA-00067,GOOGL,Alphabet Inc.,Equity,19316.05,15.16
HLD-000313,PA-00067,VTI,Vanguard Total Stock Market ETF,ETF,14332.72,11.25
HLD-000314,PA-00067,SPY,SPDR S&P 500 ETF,ETF,36791.14,28.87
HLD-000315,PA-00067,AMZN,Amazon.com Inc.,Equity,32087.26,25.18
HLD-000316,PA-00067,BND,Vanguard Total Bond Market ETF,ETF,8036.71,6.31
HLD-000317,PA-00067,MSFT,Microsoft Corp.,Equity,16885.12,13.25
HLD-000318,PA-00068,GOOGL,Alphabet Inc.,Equity,15418.86,21.12
HLD-000319,PA-00068,AAPL,Apple Inc.,Equity,16526.58,22.64
HLD-000320,PA-00068,VTI,Vanguard Total Stock Market ETF,ETF,14516.54,19.88
HLD-000321,PA-00068,BND,Vanguard Total Bond Market ETF,ETF,5894.11,8.07
HLD-000322,PA-00068,SPY,SPDR S&P 500 ETF,ETF,14930.44,20.45
HLD-000323,PA-00068,MSFT,Microsoft Corp.,Equity,5718.48,7.83
HLD-000324,PA-00069,BND,Vanguard Total Bond Market ETF,ETF,182156.39,25.7
HLD-000325,PA-00069,SPY,SPDR S&P 500 ETF,ETF,235333.0,33.2
