Transaction_ID,Household_External_ID,Portfolio_Account_ID,Transaction_Date,Transaction_Type,Symbol,Quantity,Price,Total_Amount,Currency
TXN-000040,HH-0004,PA-00007,2025-11-29,BUY,VTI,61,28.42,1733.62,CAD
TXN-000041,HH-0004,PA-00007,2025-09-11,BUY,MSFT,22,455.07,10011.54,CAD
TXN-000042,HH-0004,PA-00008,2026-03-23,BUY,VTI,65,157.28,10223.2,CAD
TXN-000043,HH-0004,PA-00008,2026-01-03,BUY,VTI,38,368.59,14006.42,CAD
TXN-000044,HH-0004,PA-00008,2025-11-20,SELL,MSFT,126,408.56,51478.56,CAD
TXN-000045,HH-0004,PA-00008,2026-06-03,BUY,AAPL,173,229.75,39746.75,CAD
TXN-000046,HH-0004,PA-00008,2026-02-04,SELL,AMZN,191,50.73,9689.43,CAD
TXN-000047,HH-0004,PA-00008,2025-10-09,BUY,AAPL,108,370.9,40057.2,CAD
TXN-000048,HH-0004,PA-00008,2026-07-15,BUY,MSFT,53,279.74,14826.22,CAD
TXN-000049,HH-0004,PA-00008,2026-06-29,SELL,MSFT,76,244.75,18601.0,CAD
TXN-000050,HH-0004,PA-00009,2026-08-01,SELL,SPY,145,71.51,10368.95,CAD
TXN-000051,HH-0004,PA-00009,2025-10-10,BUY,AAPL,197,428.13,84341.61,CAD
TXN-000052,HH-0004,PA-00009,2026-06-15,SELL,AMZN,128,126.53,16195.84,CAD
TXN-000053,HH-0004,PA-00009,2026-02-15,BUY,MSFT,102,26.02,2654.04,CAD
TXN-000054,HH-0004,PA-00009,2026-02-21,SELL,SPY,121,160.49,19419.29,CAD
TXN-000055,HH-0004,PA-00009,2025-09-17,SELL,MSFT,53,165.94,8794.82,CAD
TXN-000056,HH-0004,PA-00009,2026-08-10,BUY,BND,85,52.15,4432.75,CAD
TXN-000057,HH-0004,PA-00009,2025-11-13,SELL,VTI,140,99.78,13969.2,CAD
TXN-000058,HH-0005,PA-00010,2026-07-29,BUY,AAPL,157,57.28,8992.96,CAD
TXN-000059,HH-0005,PA-00010,2026-05-11,SELL,AAPL,150,141.95,21292.5,CAD
TXN-000060,HH-0005,PA-00010,2025-11-08,BUY,VTI,25,224.13,5603.25,CAD
TXN-000061,HH-0005,PA-00010,2025-11-14,SELL,GOOGL,57,343.12,19557.84,CAD
TXN-000062,HH-0005,PA-00010,2026-04-01,BUY,GOOGL,106,87.17,9240.02,CAD
TXN-000063,HH-0005,PA-00010,2025-10-13,SELL,AMZN,85,466.28,39633.8,CAD
TXN-000064,HH-0005,PA-00011,2026-09-04,SELL,VTI,149,498.15,74224.35,CAD
TXN-000065,HH-0005,PA-00011,2026-08-02,BUY,VTI,72,87.92,6330.24,CAD
TXN-000066,HH-0005,PA-00012,2026-08-04,BUY,GOOGL,77,99.93,7694.61,CAD
TXN-000067,HH-0005,PA-00012,2025-12-04,SELL,VTI,172,276.25,47515.0,CAD
TXN-000068,HH-0005,PA-00012,2025-10-02,SELL,BND,31,470.99,14600.69,CAD
TXN-000069,HH-0005,PA-00012,2026-07-02,SELL,AAPL,32,377.65,12084.8,CAD
TXN-000070,HH-0006,PA-00013,2026-04-22,SELL,VTI,58,365.87,21220.46,CAD
TXN-000071,HH-0006,PA-00013,2026-05-27,SELL,VTI,130,144.28,18756.4,CAD
TXN-000072,HH-0006,PA-00013,2026-08-13,BUY,BND,113,418.94,47340.22,CAD
TXN-000073,HH-0006,PA-00014,2026-09-07,SELL,SPY,38,327.63,12449.94,CAD
TXN-000074,HH-0006,PA-00014,2026-04-27,BUY,BND,118,287.05,33871.9,CAD
TXN-000075,HH-0007,PA-00015,2025-11-25,BUY,AAPL,24,473.9,11373.6,CAD
TXN-000076,HH-0007,PA-00015,2025-09-20,BUY,VTI,14,421.43,5900.02,CAD
TXN-000077,HH-0007,PA-00015,2025-11-14,BUY,AMZN,37,44.87,1660.19,CAD
TXN-000078,HH-0007,PA-00015,2026-03-06,BUY,GOOGL,58,348.98,20240.84,CAD
TXN-000079,HH-0007,PA-00015,2025-10-02,BUY,GOOGL,148,444.96,65854.08,CAD
TXN-000080,HH-0007,PA-00016,2025-10-26,BUY,MSFT,46,488.7,22480.2,CAD
TXN-000081,HH-0007,PA-00016,2026-06-10,SELL,AAPL,50,374.87,18743.5,CAD
TXN-000082,HH-0007,PA-00016,2026-03-22,SELL,SPY,176,435.43,76635.68,CAD
TXN-000083,HH-0007,PA-00016,2026-05-04,SELL,MSFT,184,76.35,14048.4,CAD
TXN-000084,HH-0007,PA-00016,2026-08-20,SELL,MSFT,56,412.88,23121.28,CAD
TXN-000085,HH-0007,PA-00017,2026-03-13,SELL,SPY,63,130.89,8246.07,CAD
TXN-000086,HH-0007,PA-00017,2025-10-06,BUY,AMZN,89,157.34,14003.26,CAD
TXN-000087,HH-0007,PA-00017,2026-08-04,SELL,GOOGL,169,266.97,45117.93,CAD
TXN-000088,HH-0007,PA-00017,2025-09-26,SELL,AAPL,34,441.59,15014.06,CAD
TXN-000089,HH-0007,PA-00017,2026-04-28,BUY,VTI,72,43.17,3108.24,CAD
TXN-000090,HH-0008,PA-00018,2026-01-29,SELL,BND,85,232.29,19744.65,CAD
TXN-000091,HH-0008,PA-00018,2025-12-21,BUY,AMZN,152,115.29,17524.08,CAD
TXN-000092,HH-0008,PA-00018,2026-08-17,SELL,AAPL,138,464.65,64121.7,CAD
TXN-000093,HH-0008,PA-00018,2025-12-07,BUY,GOOGL,115,58.24,6697.6,CAD
TXN-000094,HH-0008,PA-00018,2025-10-03,SELL,VTI,85,340.11,28909.35,CAD
TXN-000095,HH-0008,PA-00018,2026-07-07,SELL,VTI,84,341.77,28708.68,CAD
TXN-000096,HH-0008,PA-00019,2026-02-14,SELL,VTI,37,116.12,4296.44,CAD
TXN-000097,HH-0008,PA-00019,2025-10-03,SELL,BND,196,453.83,88950.68,CAD
TXN-000098,HH-0008,PA-00019,2025-10-28,SELL,AMZN,145,421.02,61047.9,CAD
TXN-000099,HH-0008,PA-00019,2026-04-06,SELL,MSFT,115,398.24,45797.6,CAD
TXN-000100,HH-0008,PA-00020,2025-10-08,SELL,AMZN,118,235.03,27733.54,CAD
TXN-000101,HH-0008,PA-00020,2026-05-22,SELL,SPY,193,105.6,20380.8,CAD
TXN-000102,HH-0008,PA-00020,2026-07-27,SELL,VTI,174,325.65,56663.1,CAD
TXN-000103,HH-0008,PA-00020,2026-03-21,BUY,SPY,197,136.56,26902.32,CAD
TXN-000104,HH-0008,PA-00020,2026-04-03,BUY,SPY,55,94.99,5224.45,CAD
TXN-000105,HH-0008,PA-00020,2026-08-16,BUY,AMZN,161,428.63,69009.43,CAD
TXN-000106,HH-0009,PA-00021,2026-01-18,SELL,BND,152,117.36,17838.72,CAD
TXN-000107,HH-0009,PA-00021,2025-09-17,SELL,AMZN,107,140.89,15075.23,CAD
TXN-000108,HH-0009,PA-00022,2025-09-21,BUY,SPY,32,394.75,12632.0,CAD
TXN-000109,HH-0009,PA-00022,2026-05-19,BUY,SPY,183,271.03,49598.49,CAD
TXN-000110,HH-0009,PA-00022,2026-08-14,BUY,SPY,36,241.82,8705.52,CAD
TXN-000111,HH-0009,PA-00022,2026-01-14,SELL,SPY,118,316.01,37289.18,CAD
TXN-000112,HH-0009,PA-00022,2025-12-24,SELL,SPY,145,236.81,34337.45,CAD
TXN-000113,HH-0009,PA-00022,2026-06-19,SELL,AMZN,71,382.09,27128.39,CAD
TXN-000114,HH-0009,PA-00022,2025-10-17,SELL,SPY,138,255.18,35214.84,CAD
TXN-000115,HH-0009,PA-00023,2026-04-21,SELL,AAPL,187,160.72,30054.64,CAD
TXN-000116,HH-0009,PA-00023,2026-04-22,SELL,GOOGL,143,63.27,9047.61,CAD
TXN-000117,HH-0009,PA-00023,2026-06-23,BUY,AMZN,182,97.58,17759.56,CAD
TXN-000118,HH-0010,PA-00024,2026-08-07,SELL,AMZN,89,282.74,25163.86,CAD
TXN-000119,HH-0010,PA-00024,2026-02-08,BUY,MSFT,112,210.0,23520.0,CAD
TXN-000120,HH-0010,PA-00024,2025-11-13,BUY,SPY,200,298.45,59690.0,CAD
TXN-000121,HH-0011,PA-00025,2026-09-05,SELL,GOOGL,197,210.24,41417.28,CAD
TXN-000122,HH-0011,PA-00025,2026-02-06,BUY,AMZN,61,154.64,9433.04,CAD
TXN-000123,HH-0011,PA-00025,2026-01-03,BUY,AMZN,91,342.71,31186.61,CAD
TXN-000124,HH-0011,PA-00025,2026-02-13,BUY,SPY,124,461.78,57260.72,CAD
TXN-000125,HH-0011,PA-00025,2025-10-25,BUY,AMZN,156,293.09,45722.04,CAD
TXN-000126,HH-0012,PA-00026,2026-07-28,SELL,MSFT,123,111.32,13692.36,CAD
TXN-000127,HH-0012,PA-00026,2026-04-28,SELL,GOOGL,59,240.98,14217.82,CAD
TXN-000128,HH-0012,PA-00027,2026-02-26,SELL,SPY,112,144.83,16220.96,CAD
TXN-000129,HH-0012,PA-00027,2026-07-29,SELL,AAPL,196,281.22,55119.12,CAD
TXN-000130,HH-0012,PA-00027,2026-03-13,BUY,BND,22,396.09,8713.98,CAD
TXN-000131,HH-0012,PA-00027,2025-10-10,BUY,SPY,12,476.07,5712.84,CAD
TXN-000132,HH-0013,PA-00028,2026-08-29,BUY,MSFT,37,249.94,9247.78,CAD
TXN-000133,HH-0013,PA-00028,2026-07-12,BUY,AMZN,184,146.72,26996.48,CAD
TXN-000134,HH-0013,PA-00028,2026-03-04,BUY,VTI,160,482.77,77243.2,CAD
TXN-000135,HH-0013,PA-00029,2026-07-12,BUY,GOOGL,32,299.88,9596.16,CAD
TXN-000136,HH-0013,PA-00029,2026-04-02,SELL,AMZN,188,119.21,22411.48,CAD
TXN-000137,HH-0013,PA-00029,2025-11-09,BUY,AAPL,183,391.93,71723.19,CAD
TXN-000138,HH-0013,PA-00029,2025-09-23,BUY,SPY,149,396.75,59115.75,CAD
TXN-000139,HH-0013,PA-00029,2026-03-15,SELL,BND,99,57.75,5717.25,CAD
TXN-000140,HH-0013,PA-00029,2025-10-12,SELL,AAPL,112,415.61,46548.32,CAD
TXN-000141,HH-0013,PA-00029,2026-07-16,SELL,GOOGL,167,448.5,74899.5,CAD
TXN-000142,HH-0014,PA-00030,2025-09-11,BUY,AMZN,50,373.55,18677.5,CAD
TXN-000143,HH-0014,PA-00030,2025-10-10,SELL,VTI,142,392.95,55798.9,CAD
TXN-000144,HH-0014,PA-00030,2026-01-13,SELL,SPY,192,306.43,58834.56,CAD
TXN-000145,HH-0014,PA-00030,2026-03-27,BUY,SPY,27,157.49,4252.23,CAD
TXN-000146,HH-0014,PA-00030,2026-01-21,BUY,SPY,123,295.68,36368.64,CAD
TXN-000147,HH-0014,PA-00031,2026-02-26,SELL,AAPL,131,429.2,56225.2,CAD
TXN-000148,HH-0014,PA-00031,2026-06-07,SELL,MSFT,95,403.97,38377.15,CAD
TXN-000149,HH-0014,PA-00031,2026-03-18,SELL,VTI,184,443.05,81521.2,CAD
TXN-000150,HH-0014,PA-00031,2025-11-28,BUY,VTI,53,65.67,3480.51,CAD
TXN-000151,HH-0014,PA-00031,2026-02-12,SELL,VTI,199,139.15,27690.85,CAD
TXN-000152,HH-0014,PA-00031,2026-01-08,SELL,AMZN,9,69.2,622.8,CAD
TXN-000153,HH-0014,PA-00031,2026-05-18,SELL,BND,67,170.45,11420.15,CAD
TXN-000154,HH-0015,PA-00032,2026-03-04,SELL,VTI,140,188.28,26359.2,CAD
TXN-000155,HH-0015,PA-00032,2025-12-01,SELL,GOOGL,184,240.53,44257.52,CAD
TXN-000156,HH-0015,PA-00032,2026-04-05,SELL,MSFT,35,367.61,12866.35,CAD
TXN-000157,HH-0015,PA-00032,2026-03-31,BUY,BND,142,476.67,67687.14,CAD
TXN-000158,HH-0015,PA-00032,2025-09-20,BUY,MSFT,60,375.84,22550.4,CAD
TXN-000159,HH-0015,PA-00032,2026-04-20,SELL,AAPL,54,165.72,8948.88,CAD
TXN-000160,HH-0016,PA-00033,2026-06-09,SELL,AAPL,186,278.71,51840.06,CAD
TXN-000161,HH-0016,PA-00033,2026-04-21,BUY,AAPL,146,163.76,23908.96,CAD
TXN-000162,HH-0016,PA-00033,2026-07-06,SELL,AAPL,8,297.68,2381.44,CAD
TXN-000163,HH-0016,PA-00033,2026-01-11,SELL,AMZN,92,112.57,10356.44,CAD
TXN-000164,HH-0016,PA-00034,2026-05-02,SELL,AAPL,21,215.34,4522.14,CAD
TXN-000165,HH-0016,PA-00034,2026-08-02,BUY,MSFT,43,410.29,17642.47,CAD
TXN-000166,HH-0016,PA-00035,2026-07-27,BUY,AAPL,147,388.11,57052.17,CAD
TXN-000167,HH-0016,PA-00035,2025-11-02,BUY,SPY,138,205.68,28383.84,CAD
TXN-000168,HH-0016,PA-00035,2026-01-25,SELL,SPY,155,495.26,76765.3,CAD
TXN-000169,HH-0016,PA-00035,2026-04-05,BUY,VTI,194,72.14,13995.16,CAD
TXN-000170,HH-0017,PA-00036,2026-05-25,BUY,GOOGL,174,63.56,11059.44,CAD
TXN-000171,HH-0017,PA-00036,2026-05-09,BUY,VTI,24,99.35,2384.4,CAD
TXN-000172,HH-0017,PA-00036,2026-02-11,SELL,BND,157,248.21,38968.97,CAD
TXN-000173,HH-0017,PA-00036,2026-08-23,BUY,GOOGL,185,159.29,29468.65,CAD
TXN-000174,HH-0017,PA-00036,2026-01-19,BUY,BND,64,463.86,29687.04,CAD
TXN-000175,HH-0017,PA-00036,2025-10-23,BUY,AMZN,34,283.67,9644.78,CAD
TXN-000176,HH-0017,PA-00036,2025-10-12,BUY,GOOGL,41,58.92,2415.72,CAD
TXN-000177,HH-0017,PA-00036,2026-06-16,SELL,VTI,196,416.51,81635.96,CAD
TXN-000178,HH-0018,PA-00037,2026-01-27,BUY,AMZN,181,169.44,30668.64,CAD
TXN-000179,HH-0018,PA-00037,2026-02-14,SELL,VTI,143,259.55,37115.65,CAD
TXN-000180,HH-0018,PA-00037,2026-07-29,BUY,AMZN,193,178.1,34373.3,CAD
TXN-000181,HH-0018,PA-00037,2026-05-03,BUY,AAPL,63,481.91,30360.33,CAD
TXN-000182,HH-0019,PA-00038,2025-11-18,BUY,SPY,177,415.18,73486.86,CAD
TXN-000183,HH-0019,PA-00038,2025-11-17,BUY,SPY,198,108.22,21427.56,CAD
TXN-000184,HH-0019,PA-00038,2025-12-17,SELL,GOOGL,51,498.55,25426.05,CAD
TXN-000185,HH-0019,PA-00038,2026-01-28,SELL,AAPL,125,190.28,23785.0,CAD
TXN-000186,HH-0019,PA-00038,2026-03-22,SELL,BND,31,432.42,13405.02,CAD
TXN-000187,HH-0019,PA-00038,2026-03-24,SELL,BND,131,161.9,21208.9,CAD
TXN-000188,HH-0019,PA-00038,2026-02-15,BUY,AMZN,27,174.4,4708.8,CAD
TXN-000189,HH-0019,PA-00038,2026-03-27,BUY,SPY,108,435.83,47069.64,CAD
TXN-000190,HH-0019,PA-00039,2026-09-08,SELL,AMZN,18,114.1,2053.8,CAD
TXN-000191,HH-0019,PA-00039,2026-03-07,SELL,BND,118,386.0,45548.0,CAD
TXN-000192,HH-0019,PA-00039,2026-05-27,SELL,VTI,38,465.64,17694.32,CAD
TXN-000193,HH-0019,PA-00039,2026-01-27,SELL,AAPL,12,487.24,5846.88,CAD
TXN-000194,HH-0019,PA-00039,2025-11-01,BUY,BND,45,172.61,7767.45,CAD
TXN-000195,HH-0019,PA-00039,2026-09-01,SELL,AAPL,62,496.32,30771.84,CAD
TXN-000196,HH-0019,PA-00039,2026-07-12,SELL,AAPL,170,420.27,71445.9,CAD
TXN-000197,HH-0019,PA-00039,2025-12-27,SELL,VTI,185,154.88,28652.8,CAD
TXN-000198,HH-0020,PA-00040,2026-01-04,SELL,MSFT,121,286.85,34708.85,CAD
TXN-000199,HH-0020,PA-00040,2026-02-24,BUY,VTI,135,379.49,51231.15,CAD
TXN-000200,HH-0020,PA-00040,2026-07-01,BUY,GOOGL,111,186.44,20694.84,CAD
TXN-000201,HH-0020,PA-00040,2025-12-23,SELL,SPY,5,159.35,796.75,CAD
TXN-000202,HH-0020,PA-00040,2026-04-09,SELL,SPY,43,237.11,10195.73,CAD
TXN-000203,HH-0020,PA-00040,2026-01-04,SELL,GOOGL,146,387.36,56554.56,CAD
TXN-000204,HH-0020,PA-00040,2026-02-27,SELL,GOOGL,53,490.87,26016.11,CAD
TXN-000205,HH-0020,PA-00040,2026-05-09,SELL,MSFT,110,45.73,5030.3,CAD
TXN-000206,HH-0021,PA-00041,2026-01-09,SELL,AMZN,174,401.39,69841.86,CAD
TXN-000207,HH-0021,PA-00041,2025-10-10,BUY,AMZN,14,84.97,1189.58,CAD
TXN-000208,HH-0021,PA-00041,2025-11-10,SELL,SPY,30,440.24,13207.2,CAD
TXN-000209,HH-0021,PA-00041,2026-01-26,BUY,VTI,121,32.29,3907.09,CAD
TXN-000210,HH-0021,PA-00041,2026-06-27,SELL,SPY,172,485.73,83545.56,CAD
TXN-000211,HH-0021,PA-00041,2026-08-01,SELL,SPY,72,185.82,13379.04,CAD
TXN-000212,HH-0021,PA-00041,2025-09-19,SELL,BND,25,429.59,10739.75,CAD
TXN-000213,HH-0022,PA-00042,2025-09-28,SELL,GOOGL,165,366.39,60454.35,CAD
TXN-000214,HH-0022,PA-00042,2026-01-02,BUY,VTI,22,136.52,3003.44,CAD
TXN-000215,HH-0022,PA-00042,2025-09-23,SELL,MSFT,196,67.93,13314.28,CAD
TXN-000216,HH-0022,PA-00042,2026-07-20,BUY,AMZN,47,354.65,16668.55,CAD
TXN-000217,HH-0022,PA-00042,2026-08-25,BUY,GOOGL,19,164.35,3122.65,CAD
TXN-000218,HH-0022,PA-00042,2026-03-01,SELL,MSFT,67,277.3,18579.1,CAD
TXN-000219,HH-0022,PA-00042,2025-11-23,BUY,MSFT,49,62.51,3062.99,CAD
TXN-000220,HH-0022,PA-00042,2026-02-25,BUY,AMZN,154,92.98,14318.92,CAD
TXN-000221,HH-0023,PA-00043,2025-10-17,SELL,AMZN,70,341.75,23922.5,CAD
TXN-000222,HH-0023,PA-00043,2026-01-13,SELL,BND,144,100.04,14405.76,CAD
TXN-000223,HH-0023,PA-00043,2026-01-25,SELL,VTI,81,328.5,26608.5,CAD
TXN-000224,HH-0023,PA-00043,2026-02-03,SELL,AMZN,82,119.63,9809.66,CAD
TXN-000225,HH-0023,PA-00043,2026-02-24,SELL,AAPL,65,206.15,13399.75,CAD
TXN-000226,HH-0023,PA-00044,2025-11-18,SELL,BND,80,35.42,2833.6,CAD
TXN-000227,HH-0023,PA-00044,2025-10-06,SELL,GOOGL,7,293.82,2056.74,CAD
TXN-000228,HH-0023,PA-00044,2025-09-22,BUY,VTI,195,260.95,50885.25,CAD
TXN-000229,HH-0023,PA-00044,2026-04-15,BUY,VTI,95,129.03,12257.85,CAD
TXN-000230,HH-0024,PA-00045,2025-10-26,SELL,BND,198,367.44,72753.12,CAD
TXN-000231,HH-0024,PA-00045,2025-10-06,BUY,BND,29,454.12,13169.48,CAD
TXN-000232,HH-0024,PA-00045,2025-10-13,BUY,GOOGL,117,40.85,4779.45,CAD
TXN-000233,HH-0025,PA-00046,2026-07-03,BUY,GOOGL,88,380.05,33444.4,CAD
TXN-000234,HH-0025,PA-00046,2026-06-11,BUY,MSFT,143,441.32,63108.76,CAD
TXN-000235,HH-0025,PA-00046,2026-03-05,SELL,SPY,47,147.06,6911.82,CAD
TXN-000236,HH-0025,PA-00046,2026-01-05,SELL,BND,91,407.01,37037.91,CAD
TXN-000237,HH-0026,PA-00047,2026-08-01,BUY,SPY,62,433.57,26881.34,CAD
TXN-000238,HH-0026,PA-00047,2025-09-28,SELL,SPY,147,198.74,29214.78,CAD
TXN-000239,HH-0026,PA-00047,2026-02-18,BUY,GOOGL,142,83.7,11885.4,CAD
TXN-000240,HH-0026,PA-00047,2026-03-04,SELL,VTI,102,415.65,42396.3,CAD
TXN-000241,HH-0026,PA-00047,2026-03-02,BUY,BND,64,248.95,15932.8,CAD
TXN-000242,HH-0026,PA-00048,2025-11-25,SELL,VTI,61,332.63,20290.43,CAD
TXN-000243,HH-0026,PA-00048,2025-10-18,SELL,BND,82,333.39,27337.98,CAD
TXN-000244,HH-0026,PA-00048,2026-07-11,BUY,AAPL,14,169.57,2373.98,CAD
TXN-000245,HH-0026,PA-00048,2025-12-30,BUY,AAPL,65,446.45,29019.25,CAD
TXN-000246,HH-0026,PA-00048,2026-07-01,SELL,AMZN,99,343.48,34004.52,CAD
TXN-000247,HH-0026,PA-00048,2025-09-17,SELL,VTI,195,370.13,72175.35,CAD
TXN-000248,HH-0026,PA-00049,2025-10-08,BUY,SPY,130,317.43,41265.9,CAD
TXN-000249,HH-0026,PA-00049,2026-04-18,BUY,BND,99,128.2,12691.8,CAD
TXN-000250,HH-0026,PA-00049,2026-01-24,BUY,SPY,97,72.19,7002.43,CAD
TXN-000251,HH-0026,PA-00049,2025-09-22,SELL,VTI,170,195.37,33212.9,CAD
TXN-000252,HH-0026,PA-00049,2026-02-17,SELL,MSFT,36,475.78,17128.08,CAD
TXN-000253,HH-0027,PA-00050,2026-01-19,BUY,BND,59,329.81,19458.79,CAD
TXN-000254,HH-0027,PA-00050,2025-11-07,BUY,AAPL,90,140.7,12663.0,CAD
TXN-000255,HH-0027,PA-00050,2026-07-06,BUY,AAPL,200,288.25,57650.0,CAD
TXN-000256,HH-0027,PA-00050,2025-11-12,BUY,SPY,64,181.07,11588.48,CAD
TXN-000257,HH-0027,PA-00050,2026-06-25,BUY,GOOGL,42,494.08,20751.36,CAD
TXN-000258,HH-0027,PA-00050,2025-12-06,SELL,SPY,49,77.22,3783.78,CAD
TXN-000259,HH-0027,PA-00050,2026-08-26,BUY,AAPL,96,400.24,38423.04,CAD
TXN-000260,HH-0027,PA-00050,2026-05-10,SELL,AAPL,49,151.05,7401.45,CAD
TXN-000261,HH-0027,PA-00051,2026-02-05,BUY,BND,21,251.22,5275.62,CAD
TXN-000262,HH-0027,PA-00051,2026-03-07,BUY,AMZN,133,130.24,17321.92,CAD
TXN-000263,HH-0027,PA-00051,2025-10-29,BUY,BND,173,272.69,47175.37,CAD
TXN-000264,HH-0027,PA-00052,2025-10-14,BUY,AAPL,127,427.47,54288.69,CAD
TXN-000265,HH-0027,PA-00052,2026-02-02,BUY,AMZN,187,457.11,85479.57,CAD
TXN-000266,HH-0027,PA-00052,2026-08-02,BUY,GOOGL,160,95.46,15273.6,CAD
TXN-000267,HH-0027,PA-00052,2026-07-06,SELL,VTI,167,303.05,50609.35,CAD
TXN-000268,HH-0027,PA-00052,2025-09-09,SELL,AMZN,157,277.01,43490.57,CAD
TXN-000269,HH-0028,PA-00053,2025-12-24,SELL,AAPL,184,79.35,14600.4,CAD
TXN-000270,HH-0028,PA-00053,2025-10-08,BUY,AMZN,120,446.84,53620.8,CAD
TXN-000271,HH-0028,PA-00053,2026-02-09,SELL,SPY,121,214.4,25942.4,CAD
TXN-000272,HH-0028,PA-00053,2026-07-22,SELL,AMZN,85,340.93,28979.05,CAD
TXN-000273,HH-0028,PA-00053,2026-03-01,BUY,BND,126,56.89,7168.14,CAD
TXN-000274,HH-0029,PA-00054,2026-07-27,BUY,AMZN,29,378.68,10981.72,CAD
TXN-000275,HH-0029,PA-00054,2026-03-02,BUY,VTI,20,303.57,6071.4,CAD
TXN-000276,HH-0029,PA-00054,2025-11-25,SELL,BND,36,220.13,7924.68,CAD
TXN-000277,HH-0029,PA-00054,2025-10-03,SELL,SPY,189,49.44,9344.16,CAD
TXN-000278,HH-0029,PA-00054,2026-04-14,SELL,GOOGL,31,299.51,9284.81,CAD
TXN-000279,HH-0029,PA-00054,2026-05-23,BUY,BND,128,131.52,16834.56,CAD
TXN-000280,HH-0029,PA-00054,2026-07-15,SELL,SPY,147,199.59,29339.73,CAD
